Ward,Precinct,Submission Date,Comment Period End Date,Ordinance Introduction Date,Ordinance Effective Date,Scope of Restriction,Enacting Ordinance,Repeal Submission Date,Repeal Comment Period End Date,Repeal Ordinance Introduction Date,Repeal Ordinance Effective Date,Repeal Ordinance
13,19,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,43,07/21/2021,,07/21/2021,11/17/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9808012&GUID=C171AD85-80DB-4CC5-9ED4-4F451C52D9FA,,,,,
13,7,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,16,07/31/2020,08/31/2020,09/09/2020,10/07/2020,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=8760024&GUID=9A3A95EB-3632-4BA9-BC88-D41AF5DB422C,,,,,
13,5,04/27/2022,,04/27/2022,05/23/2022,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=10846496&GUID=862BE7CE-6B03-431A-893E-44A2D7E6BC8A,,,,,
13,29,11/17/2011,,11/17/2011,12/15/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9967123&GUID=FC14E075-9F62-4686-A64E-F349F2AD25B3,,,,,
13,44,01/18/2023,,01/18/2023,02/01/2023,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=11584197&GUID=B97D3EA2-83C5-4A6F-A407-167988159AAE,,,,,
13,1,06/09/2017,07/09/2017,07/26/2017,10/11/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P1.pdf,,,,,
13,13,07/21/2021,,07/21/2021,11/17/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9808012&GUID=C171AD85-80DB-4CC5-9ED4-4F451C52D9FA,,,,,
23,30,,,09/14/2023,10/04/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/6dcb213d-3d2d-4051-b806-116324453c3e.pdf,,,,,
23,1,05/02/2023,,07/19/2023,09/13/2023,Restrict all new or additional shared housing units and vacation rentals.,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/facfa7f8-94a2-4cbc-96a2-fd872fa5f324.pdf,,,,,
13,11,05/17/2017,06/16/2017,06/28/2017,09/06/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P11.pdf,,,,,
13,31,06/22/2021,,06/22/2021,06/25/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9501387&GUID=1EB97326-416B-4C79-BA59-F9A92116E7F2,,,,,
13,17,05/25/2017,06/24/2017,07/26/2017,10/11/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P17.pdf,,,,,
23,35,09/26/2019,10/26/2019,11/20/2019,12/18/2019,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=7877731&GUID=7A00DCAE-78AE-4CC8-9F7C-0ECEB3FFA747,,,,,
13,8,06/25/2021,,06/25/2021,07/21/2021,Renewal,https://chicago.legistar.com/LegislationDetail.aspx?ID=4994692&GUID=64ECC7EC-FDE9-4C6F-9AA0-5BEFFBFAC911&Options=Advanced&Search=,,,,,
13,22,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,33,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,43,06/19/2017,07/19/2017,09/06/2017,11/08/2017,Restrict all new or additional shared housing units and vacation rentals.,https://www.chicityclerk.com/sites/default/files/RRZ_W13_P43.pdf,,,,,
13,13,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
23,8,07/21/2021,,07/21/2021,09/14/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9629135&GUID=64918BB2-F7FA-4CBE-A616-0B5B0455D47D,,,,,
23,8,07/21/2021,,07/21/2021,09/14/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9629135&GUID=64918BB2-F7FA-4CBE-A616-0B5B0455D47D,,,,,
23,5,07/27/2023,,11/07/2023,01/24/2024,Restrict all new or additional shared housing units and vacation rentals.,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/598d37b0-f5c1-4118-916a-f7e473890425.pdf,,,,,
13,48,04/14/2017,05/14/2017,05/24/2017,07/26/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P48.pdf,,,,,
13,30,07/27/2018,08/26/2018,09/20/2018,10/31/2018,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=6635773&GUID=A58BF9F6-ABE6-4522-A041-B517BAE6E14F,,,,,
13,42,04/26/2017,05/26/2017,06/28/2017,09/06/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P42.pdf,,,,,
19,45,10/26/2022,,10/26/2022,12/14/2022,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=11359191&GUID=FC5759CF-8E6D-45DA-AAB5-4FA93F2FB60D,,,,,
13,20,06/22/2021,,06/22/2021,06/25/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9501387&GUID=1EB97326-416B-4C79-BA59-F9A92116E7F2,,,,,
13,4,05/04/2017,06/03/2017,06/28/2017,09/06/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P4.pdf,,,,,
13,30,07/20/2022,,07/20/2022,07/21/2022,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=11068255&GUID=87061227-B7FE-4E32-9443-93C393965FD5,,,,,
13,37,11/01/2019,12/01/2019,12/18/2019,01/15/2020,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=7968908&GUID=FD1D0F0E-A5ED-4064-930B-E2A93476B608,,,,,
23,23,07/18/2017,08/17/2017,10/11/2017,11/15/2017,Restrict all new or additional shared housing units and vacation rentals.,https://www.chicityclerk.com/sites/default/files/RRZ_W23_P23.pdf,,,,,
13,32,05/03/2017,06/02/2017,06/28/2017,09/06/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P32.pdf,,,,,
13,25,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,35,07/31/2019,08/31/2019,09/18/2019,10/16/2019,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=7718551&GUID=34DF7AC7-D995-4FAB-B3B1-521999A07308,,,,,
23,1,07/21/2021,,07/21/2021,09/14/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9629135&GUID=64918BB2-F7FA-4CBE-A616-0B5B0455D47D,,,,,
23,1,07/21/2021,,07/21/2021,09/14/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9629135&GUID=64918BB2-F7FA-4CBE-A616-0B5B0455D47D,,,,,
13,31,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,18,05/31/2017,06/30/2017,07/26/2017,10/11/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P18.pdf,,,,,
13,9,04/27/2022,,04/27/2022,05/23/2022,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=10846496&GUID=862BE7CE-6B03-431A-893E-44A2D7E6BC8A,,,,,
23,1,07/11/2017,08/10/2017,10/11/2017,11/15/2017,Restrict all new or additional shared housing units and vacation rentals.,https://www.chicityclerk.com/sites/default/files/RRZ_W23_P1.pdf,,,,,
23,37,,,09/14/2023,10/04/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/63e268f4-dda7-4caf-87cf-72d08c744c41.pdf,,,,,
13,7,07/31/2020,08/31/2020,09/09/2020,10/07/2020,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=8760022&GUID=ACDEFD9A-F7F3-40C1-8D0D-80659B5544DE,,,,,
23,18,07/21/2021,,07/21/2021,09/14/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9629135&GUID=64918BB2-F7FA-4CBE-A616-0B5B0455D47D,,,,,
23,18,07/21/2021,,07/21/2021,09/14/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9629135&GUID=64918BB2-F7FA-4CBE-A616-0B5B0455D47D,,,,,
13,14,11/17/2021,,11/17/2021,12/15/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9967123&GUID=FC14E075-9F62-4686-A64E-F349F2AD25B3,,,,,
13,22,05/12/2017,06/11/2017,06/28/2017,09/06/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P22.pdf,,,,,
13,34,07/21/2021,,07/21/2021,11/17/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9808012&GUID=C171AD85-80DB-4CC5-9ED4-4F451C52D9FA,,,,,
13,9,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
23,6,05/26/2021,,05/26/2021,07/14/2021,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/LegislationDetail.aspx?ID=4964110&GUID=7B77F863-480E-4ECF-8BFA-F7FDDD0BDCF8&Options=Advanced&Search=,,,,,
13,20,04/26/2017,05/26/2017,06/28/2017,09/06/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P20.pdf,,,,,
23,28,,,09/14/2023,10/04/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/6e1d4437-509c-4acb-8c67-7b60a6d2de70.pdf,,,,,
23,8,07/18/2017,08/17/2017,10/11/2017,11/15/2017,Restrict all new or additional shared housing units and vacation rentals.,https://www.chicityclerk.com/sites/default/files/RRZ_W23_P8.pdf,,,,,
13,6,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,12,11/17/2021,,11/17/2021,12/15/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9967123&GUID=FC14E075-9F62-4686-A64E-F349F2AD25B3,,,,,
23,9,04/30/2024,,07/17/2024,09/18/2024,Restrict all new or additional shared housing units and vacation rentals.,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/1e03f138-ff4b-45c7-b9c4-f852ed359186.pdf,,,,,
13,45,06/22/2021,,06/22/2021,06/25/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9501387&GUID=1EB97326-416B-4C79-BA59-F9A92116E7F2,,,,,
13,40,07/31/2020,08/31/2020,09/09/2020,10/07/2020,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=8760032&GUID=33719F6A-59EC-4852-BF0A-F35960790E1E,,,,,
13,27,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,37,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
23,37,09/21/2022,,09/21/2022,10/26/2022,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=11252321&GUID=04F36B00-6ECA-49FC-A3AA-2B8865EA5D34,,,,,
23,31,,,09/14/2023,10/04/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/595049f6-ae12-4577-83b1-2b1c6a1579a0.pdf,,,,,
23,4,07/21/2021,,07/21/2021,09/14/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9629135&GUID=64918BB2-F7FA-4CBE-A616-0B5B0455D47D,,,,,
23,4,07/21/2021,,07/21/2021,09/14/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9629135&GUID=64918BB2-F7FA-4CBE-A616-0B5B0455D47D,,,,,
13,26,05/31/2017,06/30/2017,07/26/2017,10/11/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P26.pdf,,,,,
13,12,11/06/2017,12/06/2017,12/13/2017,02/28/2018,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/file/7597/download?token=JmF3v7y3,,,,,
23,33,,,09/14/2023,10/04/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/dad602c8-c38d-4b03-a2e2-d43d99ab58c0.pdf,,,,,
13,34,09/19/2017,10/19/2017,11/08/2017,11/21/2017,Restrict all new or additional shared housing units and vacation rentals.,https://www.chicityclerk.com/sites/default/files/RRZ_W13_P34.pdf,,,,,
13,2,05/23/2017,06/22/2017,07/26/2017,10/11/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P2.pdf,,,,,
23,38,11/15/2019,12/15/2019,12/18/2019,01/15/2020,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=7968910&GUID=A7A362E1-48AB-4C56-A7C7-79BCF8E894E5,,,,,
