Application ID,Submission ID,Applicant Role,"Association, Cooperative, or Owner",Address Number,Street Direction,Street Name,Street Type,Number of Units,PIN,Vote Date,Recorded Date,Signed Date,Latitude,Longitude,Location
757,PB2016A00757,Authorized Agent,525 W. Hawthorne Place Condo Assoc,525,W,Hawthorne,PL,232,14-21-307-061-1002-1384,,,10/19/2016,41.944530999,-87.6423370701,"(41.944530999040424, -87.64233707009666)"
2477,PB2019A02477,Secretary,1456 N Greenview Condo Association,1456,N,Greenview,AVE,5,"17-05-108-025-0000,  17-05-108-026-0000",,03/05/2019,03/05/2019,41.9086931049,-87.6653430886,"(41.908693104905, -87.66534308864117)"
1620,PB2017A01620,Agent,Block X Condo Assn,1141-1151,W,Washington,BLVD,99,17-08-443-042-1001,,08/10/2017,08/10/2017,41.8828849315,-87.6559607939,"(41.8828849314506, -87.65596079393674)"
3382,PB2024A03382,Property Manager,Paulina Row Condominium Association,6414-6416,N,PAULINA,ST,16,11-31-419-034-1001,,09/25/2024,09/25/2024,41.9985149897,-87.6724363584,"(41.9985149896637, -87.67243635841379)"
1222,PB2017A01222,Attorney,Vanguard Lofts Condominium Association,1250,W,Van Buren,ST,100,17-17-117-036-1001 to 17-17-117-036-1198,,03/10/2017,03/10/2017,41.8765950142,-87.659005533,"(41.87659501417766, -87.65900553300332)"
3081,PB2020A03081,Attorney,Belden Place Condominium Association,3332-3334,W,BELDEN,AVE,21,13-035-206-036-1015 thru 13-35-206-036-1021,,07/23/2020,07/23/2020,41.9229480644,-87.7118087538,"(41.92294806436858, -87.71180875375323)"
1724,PB2017A01724,AGENT,VITA AGIATA CONDOMINIUM ASSOCIATION,7429-7431,N,GREENVIEW,AVE,20,1293110291000,,08/11/2017,08/11/2017,42.0169473293,-87.6680224774,"(42.01694732933718, -87.66802247743004)"
2982,PB2019A02982,manager,,3025-3027,N,harlem,AVE,9,: 13-30-109-054-0000,,10/30/2019,10/30/2019,41.9351798195,-87.8065012344,"(41.93517981948446, -87.8065012343954)"
664,PB2016A00664,Registered Agent,1555 N Dearborn Condo Assoc,1558,N,Dearborn,ST,90,17-04-210-031-1001-1108,08/16/2016,,10/05/2016,41.9111117405,-87.6303511238,"(41.91111174052472, -87.63035112382713)"
2244,PB2018A02244,Property Manager,,3905-3929,N,Western,AVE,39,14-19-100-029-0000,,04/03/2018,04/03/2018,41.9523569519,-87.6882719583,"(41.9523569518767, -87.68827195827028)"
1118,PB2017A01118,President,Lakewood Commons West Condo Assoc,1326-1330,W,Belden,AVE,50,147-32-105-019-1001-1099,01/31/2017,02/15/2017,02/15/2017,41.9235455465,-87.6618543375,"(41.923545546503235, -87.66185433754927)"
1894,PB2017A01894,authorized agent,,1437,S,Clark,ST,1,17-21-211-030-0000,,09/11/2017,09/11/2017,41.8629708315,-87.6301364509,"(41.86297083147163, -87.63013645091156)"
355,PB2016A00355,Registered Agent,565 West Quincy Condominium Assoc,565,W,Quincy,ST,241,17-16-113-015-0000-1241,,08/01/2016,08/15/2016,41.8785357748,-87.642219133,"(41.87853577479779, -87.64221913304229)"
957,PB2017A00957,Authorized Agent,Grand Kingsbury LLC,520,N,Kingsbury,ST,420,17-09-130-008-0000,,,01/09/2017,41.8912307869,-87.6398459931,"(41.891230786934514, -87.63984599312703)"
2686,PB2019A02686,Manager,,2724,N,kimball,AVE,12,13-26-403-030-0000,,10/02/2019,10/02/2019,41.9309019629,-87.7124162997,"(41.9309019628835, -87.71241629973869)"
657,PB2016A00657,Authorized Agent,Chelsea Townhomes,109,S,Racine,AVE,1,17-17-210-035-0000,,,09/22/2016,41.880027411,-87.6569433757,"(41.880027410959286, -87.65694337571706)"
1265,PB2017A01265,Registered Agent,,1549-1555,W,North Shore,AVE,16,11-32-308-001-0000,,03/27/2017,03/27/2017,42.0034470956,-87.6700607972,"(42.003447095599434, -87.67006079719506)"
1075,PB2017A01075,Registered Agent,,869,W,Buena,AVE,167,14-17-414-001-0000,,02/03/2017,02/03/2017,41.9583453293,-87.6525656177,"(41.958345329333504, -87.65256561765858)"
2802,PB2019A02802,MANAGER,,5600,S,DORCHESTER,AVE,12,20-14-209-015-0000,,10/02/2019,10/02/2019,41.793233793,-87.5917859965,"(41.79323379296717, -87.59178599654675)"
1257,PB2017A01257,Property Manager,,1100,W,Roscoe,ST,36,14-20-411-031-0000,,03/27/2017,03/27/2017,41.9436405871,-87.6567081753,"(41.94364058712861, -87.65670817533245)"
2679,PB2019A02679,Manager,,1907,N,sheffield,AVE,6,14-32-407-026-0000,,10/02/2019,10/02/2019,41.916235357,-87.6531573636,"(41.916235356963156, -87.65315736357663)"
127,PB2016A00127,Authorized Agent,415 Condominium Assoc,415,W,Aldine,AVE,60,14-21-312-045-0000,,,07/28/2016,41.9421711177,-87.6405591333,"(41.942171117689924, -87.64055913334448)"
2971,PB2019A02971,property manager,,1418,N,mohawk,ST,6,17-04-121-042-0000,,10/30/2019,10/30/2019,41.9081920707,-87.6422831879,"(41.90819207071422, -87.64228318788456)"
2712,PB2019A02712,Manager,,4901,W,cullom,AVE,18,13-16-409-024-0000,,10/02/2019,10/02/2019,41.9587542458,-87.7500529683,"(41.95875424577765, -87.75005296827771)"
1513,PB2017A01513,Registered Agent,,2801,N,WOLCOTT,AVE,999,99999999999999,,08/10/2017,08/10/2017,41.932368834,-87.6755222129,"(41.932368834029006, -87.67552221287711)"
93,PB2016A00093,Authorized Agent,3546-48 N Janssen,3546-3548,N,Janssen,AVE,19,14-20-302-031-1001-1019,,,07/29/2016,41.9466152883,-87.6653650846,"(41.94661528834025, -87.66536508455619)"
2059,PB2017A02059,"Lakeview Associates, Inc. (property manager)",,1535-1537,W,Addison,ST,12,14-20-300-010-0000,,11/21/2017,11/21/2017,41.9468974752,-87.6677929246,"(41.9468974751969, -87.66779292457723)"
2088,PB2017A02088,President,Carpenters Court Homeowners Association,448,N,Carpenter,ST,12,17-08-248-019,,12/04/2017,12/04/2017,41.8903419611,-87.6535878049,"(41.89034196106098, -87.65358780493558)"
1071,PB2017A01071,authorized agent,Commonwealth Historic Priarie Avenue HOA,1815-1849,S,Prairie,AVE,37,17-22-309-072-0000-17-22-309-114-0000,,02/03/2017,02/03/2017,41.8574182762,-87.6206084598,"(41.85741827615482, -87.620608459751)"
2940,PB2019A02940,Manager,,3133,W,lawrence,AVE,21,13-13-100-017-0000,,10/04/2019,10/04/2019,41.9683547002,-87.7073943249,"(41.96835470022669, -87.7073943249261)"
1451,PB2017A01451,PROPERTY MANAGER,,845-849,W,SHERIDAN,RD,8,14-20-214-003-0000,,07/20/2017,07/20/2017,41.9526113667,-87.6514193933,"(41.952611366696445, -87.65141939329096)"
500,PB2016A00500,Authorized Agent,Bel Harbour Condominium Assoc,420,W,Belmont,AVE,207,14-21-314-053-1001-1327,,08/09/2016,08/30/2016,41.9402128873,-87.6404497737,"(41.94021288733969, -87.64044977373753)"
832,PB2017A00832,Owner,Northtown Village Phase II,722,W,Evergreen,AVE,,17-04-113-100-1076,,,08/29/2016,41.9064733937,-87.6464454293,"(41.90647339372219, -87.6464454292848)"
1274,PB2017A01274,Registered Agent,,652,N,Noble,ST,16,17-08-113-015-0000,,03/27/2017,03/27/2017,41.8940607742,-87.6624942196,"(41.894060774177625, -87.66249421964179)"
582,PB2016A00582,Authorized Agent,Astoria Tower Condominium Assoc,8,E,9th,ST,248,17-15-304-064-1001-1232,,,09/15/2016,41.8706349908,-87.6272775301,"(41.87063499080216, -87.62727753012125)"
3127,PB2021A03127,Kalabich Management,,3520-3534,W,83RD,PL,21,19-35-400-033 thru 037 and 060-0000,,03/30/2021,03/30/2021,41.7415580717,-87.7103383408,"(41.74155807165225, -87.71033834082398)"
716,PB2016A00716,Registered Agent,Patterson I LLC,1837,W,Patterson,AVE,37,14-19-228-033-0000,10/05/2016,,10/06/2016,41.9477118648,-87.6758461497,"(41.947711864773595, -87.6758461496647)"
2163,PB2018A02163,Attorney,Townhomes on Wabash Street at 14th Place,26,E,14th,PL,16,"17-22-106-097-0000 through 17-22-106-113-0000, inclusive",,03/02/2018,03/02/2018,41.862534302,-87.6261560965,"(41.862534301978165, -87.6261560964803)"
819,PB2017A00819,Owner,Northtown Village Phase I,1329,N,Burling,ST,,17-04-145-005-0000,,,08/29/2016,41.9057398792,-87.6471761078,"(41.90573987916547, -87.6471761077915)"
2949,PB2019A02949,Registered Agent,Wabash Station II Condominium Association,1922-1934,S,Wabash,AVE,24,17-22-305-059-1001 through 17-22-305-059-1024,,10/16/2019,10/16/2019,41.8559407811,-87.6257163238,"(41.85594078111565, -87.62571632383018)"
1911,PB2017A01911,authorized agent,,58,W,15th,ST,1,17-21-211-347-0000,,09/11/2017,09/11/2017,41.8620299106,-87.6296534372,"(41.86202991061113, -87.62965343721505)"
2867,PB2019A02867,MANAGER,,4356-4358,S,LAKE PARK,AVE,6,20-02-304-038-0000,,10/02/2019,10/02/2019,41.8154740965,-87.5980012862,"(41.81547409653474, -87.59800128623318)"
240,PB2016A00240,President,Caravel Condominium Assoc,635,N,Dearborn,ST,124,17-09-227-033-1001-1124,,02/26/2003,07/28/2016,41.8934359993,-87.6295533136,"(41.893435999277635, -87.6295533135753)"
1517,PB2017A01517,President,,2807,N,WOLCOTT,AVE,999,99999999999999,,08/10/2017,08/10/2017,41.9325576935,-87.6755390664,"(41.93255769347128, -87.67553906635938)"
3030,PB2019A03030,Treasurer,,1941-1943,W,Armitage,AVE,6,14-31-400-054-1001 thru 1006,,12/09/2019,12/09/2019,41.917663987,-87.6767981115,"(41.91766398697072, -87.67679811152443)"
602,PB2016A00602,Authorized Agent,Chelsea Townhomes,1117 #7,W,Monroe,ST,1,17-17-210-090-0000,,,09/22/2016,41.8802470942,-87.6553839969,"(41.880247094162456, -87.6553839968631)"
1566,PB2017A01566,Property Manager,Landmark Village Condo Association,2911,N,Wolcott,AVE,999,14-30-222-173-1041,,08/10/2017,08/10/2017,41.9345003483,-87.6756158658,"(41.934500348273176, -87.67561586577001)"
1636,PB2017A01636,Agent,"Wayne-Waveland Properties, INC.",3700-3706,N,Wayne,AVE,19,14-20-115-035-0000,,08/11/2017,08/11/2017,41.9490101495,-87.6630055492,"(41.949010149515686, -87.6630055492049)"
712,PB2016A00712,Registered Agent,Barry I LLC,660,W,Barry,AVE,35,14-28-104-069-0000,10/05/2016,,10/06/2016,41.9379804988,-87.6466588874,"(41.937980498810006, -87.64665888742677)"
668,PB2016A00668,Board President,Union Park Lofts Condo Assoc,1327,W,Washington,BLVD,37,17-08-335-028-1001-1037,,,10/05/2016,41.8828129882,-87.6606822905,"(41.88281298818196, -87.66068229045455)"
1683,PB2017A01683,AUTHORIZED AGENT,WOODLANDS OF BRONZEVILLE CONDOMINIUM ASSOCIATION,606,E,WOODLAND PARK,,240,17-34-219-150-0000,,08/11/2017,08/11/2017,41.832382554,-87.6108543313,"(41.832382554013485, -87.61085433128137)"
1633,PB2017A01633,Agent,River North Commons Condo Assn,521-525,W,Superior,ST,198,17-09-118-015-1425,,08/11/2017,08/11/2017,41.8953808731,-87.6423606519,"(41.89538087313116, -87.64236065186535)"
91,PB2016A00091,Authorized Agent,Lakewood Court I Condominium,6906-6912,N,Lakewood,AVE,24,11-32-118-019-1001-1024,,,07/29/2016,42.0069621255,-87.6638419821,"(42.006962125467204, -87.66384198214223)"
1103,PB2017A01103,Registered Agent,Sheridan I LLC,6710,N,Sheridan,RD,44,11-32-307-029-0000,02/14/2017,02/14/2017,02/14/2017,42.0039127615,-87.6609760217,"(42.00391276151512, -87.66097602165705)"
1318,PB2017A01318,President,Wabash Flats Homeowners Assoc,1243,S,Wabash,AVE,25,17-22-101-038-1002,,04/11/2017,04/11/2017,41.8662612525,-87.6256574012,"(41.866261252530165, -87.62565740118897)"
1158,PB2017A01158,"managing agent, TCC Realty LLC",,5042-5050,N,Glenwood,AVE,31,14-08-307-021-0000,,02/23/2017,02/23/2017,41.973916094,-87.6648331169,"(41.9739160939543, -87.66483311694765)"
1559,PB2017A01559,PROPERTY MANAGER,KINZIE PARK TOWNHOME ASSOCIATION,426-484,N,CANAL,ST,82,17091120930000,08/09/2016,08/10/2017,08/10/2017,41.8896708714,-87.6408394585,"(41.889670871389356, -87.6408394584985)"
678,PB2016A00678,President,Sanctuary Loft Condos,2411,W,Walton,ST,13,16-01-0423-055-1001-1013,,,10/13/2016,41.898352659,-87.6874149966,"(41.89835265895045, -87.68741499664259)"
1673,PB2017A01673,REGISTERED AGENT,LINCOLN PARK PLACE CONDOMINIUM ASSOCIATION,2403-2405,N,ORCHARD,ST,12,14283150481012,,08/11/2017,08/11/2017,41.9256150599,-87.6461925181,"(41.925615059876876, -87.64619251810657)"
1275,PB2017A01275,Registered Agent,,1201-1209,W,Waveland,AVE,16,14-20-126-015-0000,,03/27/2017,03/27/2017,41.9488567526,-87.6592683057,"(41.948856752551286, -87.65926830574108)"
414,PB2016A00414,Registered Agent,Park Gables Apartment Homes,2438-2484,W,Estes,AVE,72,10-36-206-025-0000,,,08/12/2016,42.0105386565,-87.6917627462,"(42.01053865649926, -87.69176274622335)"
95,PB2016A00095,Authorized Agent,Edgebrook Pointe Condo Assoc,6419-6425,W,Touhy,AVE,24,10-31-208-047-1001-1058,,,07/29/2016,42.0118877327,-87.7875073118,"(42.01188773269665, -87.78750731177352)"
12,PB2016A00012,Authorized Agent,Pinnacle Condominium Assoc.,21,E,Huron,ST,213,17-10-107-016-1001-1213,,11/01/2004,07/19/2016,41.8947801798,-87.6272172412,"(41.8947801798193, -87.62721724116876)"
382,PB2016A00382,President,40 E Delaware Place Condominium Assoc,40,E,Delaware,PL,75,17-03-209-016-0000-1078,,12/29/2016,08/08/2016,41.8992762151,-87.626811913,"(41.89927621506065, -87.62681191300578)"
429,PB2016A00429,Registered Agent,Park Castle Condominium Assoc,2416-2458,W,Greenleaf,AVE,68,10-36-213-006-0000,,,08/15/2016,42.0096149398,-87.6906098693,"(42.00961493978809, -87.6906098692729)"
2018,PB2017A02018,registered agent,Southport Place Condo Assoc,4003-4035,N,Southport,AVE,43,14-17-315-014-1000,10/18/0017,10/18/2017,10/18/2017,41.954461488,-87.6640699768,"(41.95446148803626, -87.66406997682951)"
1535,PB2017A01535,authorized agent,North Town Village Condo Assoc,1317,N,Burling,ST,145,17-04-113-100-1037-1038,,08/10/2017,08/10/2017,41.9054373322,-87.6471683058,"(41.9054373321919, -87.64716830575611)"
961,PB2017A00961,Registered Agent,Gallery 400 Condo Assoc,400,W,Ontario,ST,117,17-09-127-036-1001-1117 and 17-09-127-036-1119-1236,12/12/2016,,12/14/2016,41.893235454,-87.6387764677,"(41.893235453981156, -87.63877646774957)"
2213,PB2018A02213,Property Manager,,1658,N,Harding,AVE,5,13-35-322-016-0000,,04/03/2018,04/03/2018,41.9116302174,-87.7253120764,"(41.91163021737749, -87.72531207641205)"
589,PB2016A00589,Authorized Agent,River East Center Condominium Association,512,N,McClurg,CT,620,17-10-223-033-1001-1620,,,08/25/2016,41.8915178945,-87.6178305226,"(41.89151789453108, -87.61783052258244)"
1586,PB2017A01586,AUTHORIZED AGENT,LAKESHORE POINTE CA,2347-2377,E,70TH,PL,63,20244300111114,08/08/2016,08/10/2017,08/10/2017,41.7670371994,-87.5678606461,"(41.7670371994043, -87.56786064613509)"
1887,PB2017A01887,authorized agent,,1430,S,Federal,ST,1,17-21-211-040-0000,,09/11/2017,09/11/2017,41.863222541,-87.6295215692,"(41.86322254103429, -87.62952156924285)"
2306,PB2018A02306,Property Manager,Kinetic Lofts at Rainbo Village Condominium Association,4814-4846,N,Clark,ST,88,14-08-315-058-1001,03/29/2018,04/18/2018,04/18/2018,41.9694204668,-87.6677120689,"(41.96942046680135, -87.66771206889904)"
190,PB2016A00190,Authorized Agent,Berwyn Court,2910-2920,W,Berwyn,AVE,21,13-12-115-048-1001,,,08/01/2016,41.9777342146,-87.7019056991,"(41.97773421463022, -87.70190569905618)"
2445,PB2019A02445,HOA President,Spaulding Court,4654-4660,N,Spaulding,AVE,13,13-14-204-049-1008,,01/03/2019,01/03/2019,41.9662074475,-87.7109981454,"(41.96620744753194, -87.71099814544917)"
57,PB2016A00057,Authorized Agent,Block y Condo Assoc,1301,W,Madison,ST,179,17-17-104-041-1001-1179,,05/09/2000,07/22/2016,41.8814630254,-87.6596603496,"(41.88146302536488, -87.65966034955883)"
481,PB2016A00481,Authorized Agent,Towne Park Condominium Assoc,1760,N,Wells,ST,13,14-33-413-041-1000,,08/29/2016,09/01/2016,41.9146047856,-87.6349639784,"(41.914604785613605, -87.6349639784029)"
191,PB2016A00191,Authorized Agent,Pine Grove Apt Building Corp Condominium Assoc,601-611,W,Addison,ST,20,14-21-301-007-0000,,,08/01/2016,41.9478000199,-87.6455744952,"(41.94780001988993, -87.645574495175)"
2684,PB2019A02684,Manager,,1352,N,LA SALLE,DR,3,17-04-215-064-0000,,10/02/2019,10/02/2019,41.9072743391,-87.6331798104,"(41.90727433910867, -87.63317981043542)"
949,PB2017A00949,Authorized Agent,Bridgeport Station Lofts Condo Assoc,3505,S,Morgan,ST,66,17-32-402-024-1001-1145,12/12/2016,,10/07/2016,41.8305108599,-87.6508189712,"(41.83051085985652, -87.65081897121267)"
2504,PB2019A02504,Lavinia Shimkus,,4619,N,Monticello,AVE,4,13-14-113-012-0000,,03/28/2019,03/28/2019,41.9652814861,-87.7192358481,"(41.96528148614234, -87.719235848053)"
465,PB2016A00465,Authorized Agent,Kenton Court Condominium Assoc,5311-5329,N,Kenmore,AVE,40,14-08-209-020-1001-1040,,,08/17/2016,41.9785785322,-87.6563276038,"(41.97857853215917, -87.65632760376937)"
548,PB2016A00548,Authorized Agent,"RTS Properties LLC, Pulaski-Keystone Series",1901,N,Pulaski,RD,5,13-35-300-022-0000,,,08/31/2016,41.9154407553,-87.7263701278,"(41.915440755251716, -87.72637012778056)"
1603,PB2017A01603,Agent,Pattington Condo Assn,701-719,W,Bittersweet,PL,84,14-16-305-021-1001,,08/10/2017,08/10/2017,41.9555839482,-87.6474671337,"(41.95558394818363, -87.64746713367336)"
1642,PB2017A01642,President,Four Corners II Condo Assn,5312-5316,S,Kimbark,AVE,21,20-11-413-020-1001,,08/11/2017,08/11/2017,41.799038374,-87.5951627969,"(41.79903837399771, -87.59516279689386)"
236,PB2016A00236,Owner,Bean Properties,1403-1405,N,Wells,ST,6,17-04-205-031-0000,,,08/04/2016,41.9077986624,-87.6344622532,"(41.90779866244772, -87.6344622532244)"
3324,PB2023A03324,"Board President, 1700-04 West Catalpa Avenue Condominium Association",,1700-1704,W,Catalpa,AVE,9,14-07-204-042-1001; 14-07-204-042-1002; 14-07-204-042-1003; 14-07-204-042-1004; 14-07-204-042-1005; 14-07-204-042-1006; 14-07-204-042-1007; 14-07-204-042-1008; 14-07-204-042-1009,,08/06/2023,08/06/2023,41.981717731,-87.6723376755,"(41.981717730993736, -87.67233767550819)"
872,PB2017A00872,Authorized Agent,Fullerton-Kedzie Condo Assoc,3225-3231,W,Fullerton,AVE,28,13-35-208-032-1001-1059,,,11/05/2016,41.9245949643,-87.7085035032,"(41.92459496431177, -87.70850350320103)"
1574,PB2017A01574,authorized agent,North Town Village Condo Assoc,757-759,W,Scott,ST,145,17-04-113-100-1109-1112,,08/10/2017,08/10/2017,41.9048611492,-87.6480709505,"(41.90486114923342, -87.64807095053179)"
2313,PB2018A02313,Registered Agent,,801-811,W,Bradley,PL,20,14-20-223-049-1002-1017,,05/02/2018,05/02/2018,41.9500059245,-87.6496946933,"(41.9500059245378, -87.64969469334677)"
2367,PB2018A02367,Property Manager,Avenue East Condominium Association,160,E,Illinois,ST,135,17-10-126-011-1001 thru 1135,,09/21/2018,09/21/2018,41.8910641781,-87.6229179249,"(41.891064178115734, -87.62291792491408)"
835,PB2017A00835,Owner,Northtown Village Phase II,708,W,Evergreen,AVE,,17-04-113-100-1065,,,08/29/2016,41.906476726,-87.6462158303,"(41.90647672595279, -87.64621583025428)"
318,PB2016A00318,Property Manager,Greenhouse Condominium Assoc,2131,N,Clark,ST,11,14-33-206-051-1001-1011,,,08/03/2016,41.9210615259,-87.6375771781,"(41.921061525898274, -87.63757717811625)"
2478,PB2019A02478,Board President,55 W Erie Condominium a/k/a Town Retreat III HOA,55,W,Erie,ST,9,17-09-226-015-1001 thru 1009,03/06/2019,03/06/2019,03/06/2019,41.8939355336,-87.6302282395,"(41.89393553363733, -87.63022823951569)"
2984,PB2019A02984,manager,,2749-2761,N,sawyer,AVE,17,13-26-407-001-0000,,10/30/2019,10/30/2019,41.9316007324,-87.7084845393,"(41.93160073237841, -87.70848453932916)"
305,PB2016A00305,Property Manager,Vines of Ravenswood Manor Condominium Assoc,3001-3003,W,Wilson,AVE,12,13-13-120-031-1001-1012,,,08/03/2016,41.9646285589,-87.7035261395,"(41.964628558859765, -87.70352613949868)"
556,PB2016A00556,Treasurer,1720 S Michigan Condominium Assoc,1720,S,Michigan,AVE,498,17-22-301-068-0000,,,09/07/2016,41.8584377722,-87.6240934146,"(41.858437772179165, -87.6240934145977)"
1375,PB2017A01375,authorized agent,1143 S Plymouth Court Condo Assoc,1143,S,Plymouth,CT,75,17-16-424-007-1001-1075,03/17/0017,06/19/2017,06/19/2017,41.8686924798,-87.6284023701,"(41.86869247982577, -87.6284023700799)"
1626,PB2017A01626,Agent,Hartland Park Townhomes,2649-2721,N,Hermitage,AVE,45,14-30-403-256-000,,08/10/2017,08/10/2017,41.9297800923,-87.6718914064,"(41.92978009229104, -87.67189140642127)"
193,PB2016A00193,Authorized Agent,LaSalle Terrace Condominium Assoc,1540,N,La Salle,DR,141,17-04-204-047-1076,,,08/01/2016,41.9103517341,-87.6332694689,"(41.91035173405037, -87.63326946885557)"
152,PB2016A00152,Authorized Agent,900/910 Lake Shore Drive Condominium Assoc,900-910,N,Lake Shore,DR,524,17-03-215-013-1001-1527,,10/08/2012,08/02/2016,41.8992809909,-87.6188945123,"(41.899280990919685, -87.61889451230181)"
709,PB2016A00709,Registered Agent,1258 West Loyola LLC,1258,W,Loyola,AVE,14,11-32-319-003-0000,10/05/2016,,10/06/2016,42.0015062875,-87.6631256762,"(42.00150628747893, -87.66312567622343)"
3189,PB2021A03189,Owner,,512,W,Wrightwood,AVE,20,14-28-308-031-0000,,11/03/2021,11/03/2021,41.930608237,-87.6419959939,"(41.93060823697257, -87.64199599387007)"
1580,PB2017A01580,Agent,Sheridan Briar South Condo Assn,411,W,Briar,PL,15,14-28-105-076-1001-1015,,08/10/2017,08/10/2017,41.9386454727,-87.6399925575,"(41.93864547265798, -87.63999255747761)"
2332,PB2018A02332,TREASURER,ARGYLE APARTMENT BUILDING COMPANY,1458-1464,W,ARGYLE,ST,24,14-08-310-024-0000,,06/12/2018,06/12/2018,41.9726715711,-87.6669352795,"(41.9726715710755, -87.66693527951774)"
2364,PB2018A02364,property manager,McKinley Park Condo Association,2323,W,Pershing,RD,163,20-06-100-123-1001-1163,,09/05/2018,09/05/2018,41.8228977313,-87.6834169214,"(41.82289773134803, -87.68341692140602)"
2110,PB2018A02110,Owner,,4055-4063,N,Elston,AVE,39,13-14-332-004-0000,,01/07/2018,01/07/2018,41.9548701814,-87.720648591,"(41.95487018142747, -87.72064859097556)"
518,PB2016A00518,Authorized Agent,Ontario Street Lofts,411,W,Ontario,ST,159,17-09-128-017-1001-1159,,,09/12/2016,41.8930119088,-87.63910207,"(41.89301190883152, -87.63910206995382)"
147,PB2016A00147,Authorized Agent,Metropolitan Tower Condominium Assoc,310,S,Michigan,AVE,234,17-15-107-078-1001-1482,,,07/27/2016,41.877987807,-87.6244598007,"(41.8779878069696, -87.62445980070322)"
1840,PB2017A01840,Owner,,2214,N,Kenmore,AVE,3,14-32-207-033-0000,,09/01/2017,09/01/2017,41.9222020474,-87.6548660678,"(41.92220204737243, -87.65486606782395)"
1518,PB2017A01518,authorized agent,North Town Village Condo Assoc,1414,N,Burling,ST,145,17-04-113-100-1001,,08/10/2017,08/10/2017,41.9067719258,-87.6474978438,"(41.906771925766435, -87.64749784381665)"
1503,PB2017A01503,President,1707/09 N Larrabee Street Condo Assoc,1707-1709,N,Larrabee,ST,6,14-33-317-061-1001-1006,,08/07/2017,08/07/2017,41.9130506812,-87.6433509704,"(41.91305068117141, -87.6433509703503)"
1058,PB2017A01058,Registered Agent,,420,W,Fullerton,PKWY,103,14-28-322-026-0000,,02/02/2017,02/02/2017,41.9257013369,-87.6400050287,"(41.92570133694689, -87.64000502869395)"
409,PB2016A00409,Authorized Agent,Park Row at Burnham Place HOA,1436-1478,S,Indiana,AVE,69,17-22-109-069-0000,,,08/25/2016,41.8630838728,-87.622597511,"(41.86308387275745, -87.62259751096867)"
166,PB2016A00166,President,El Lago Condominium Assoc,6157,N,Sheridan,RD,268,14-05-211-024-1001-1268,,,08/08/2016,41.993958017,-87.6553602782,"(41.99395801696367, -87.65536027818077)"
237,PB2016A00237,Authorized Agent,1500 Lakeshore Drive Building Corp,1500,N,Lake Shore,DR,57,17-03-101-022-0000,,,08/15/2016,41.9095974304,-87.6263122142,"(41.9095974303994, -87.62631221423587)"
2190,PB2018A02190,Owner,,1616-1617,W,Cornelia,AVE,6,14-19-417-001-0000,,03/23/2018,03/23/2018,41.9452657898,-87.6695520871,"(41.94526578983013, -87.66955208713223)"
1179,PB2017A01179,Vice President,,500,W,Belmont,AVE,72,14-21-314-031-0000,,03/03/2017,03/03/2017,41.9401915096,-87.6420437145,"(41.9401915096454, -87.64204371445956)"
753,PB2016A00753,President,Six North Michigan,6,N,Michigan,AVE,119,17-10-312-017-1001-1235,,,07/26/2016,41.8822482227,-87.6245165375,"(41.88224822273601, -87.62451653747559)"
1504,PB2017A01504,Licensed Property Manager,,1928,N,Damen,AVE,5,14-31-307-041-0000,,08/07/2017,08/07/2017,41.9167738048,-87.6777413136,"(41.916773804772106, -87.67774131363784)"
3102,PB2020A03102,Manager,,1348,W,Roscoe,ST,30,14-20-313-037-0000,,09/30/2020,09/30/2020,41.9435357125,-87.6634233774,"(41.943535712516216, -87.66342337744332)"
887,PB2017A00887,Authorized Agent,West Haven Park Homes CA,1752,W,Maypole,AVE,,17-07-321-048-1010-1017,,,08/08/2016,41.8842923262,-87.6715314625,"(41.88429232620215, -87.67153146247954)"
2613,PB2019A02613,Manager,,1447,N,Washtenaw,AVE,4,16-01-210-005-0000,,09/30/2019,09/30/2019,41.9079911148,-87.6943438114,"(41.907991114807054, -87.6943438113739)"
20,PB2016A00020,Manager,Residences at 900 Condo Assoc.,77,E,Walton,ST,47,17-03-211-041-0000,,,07/21/2016,41.8998755308,-87.6254555423,"(41.8998755307725, -87.62545554229997)"
1091,PB2017A01091,authorized agent,1415 North Dearborn Condo Assoc,1415,N,Dearborn,ST,96,17-04-211-034-1001-1095,,02/06/2017,02/06/2017,41.9082714234,-87.6299709258,"(41.90827142339081, -87.62997092580711)"
697,PB2016A00697,Registered Agent,Fullerton I LLC,742,W,Fullerton,AVE,9,14-28-311-082-0000,10/05/2016,,10/06/2016,41.9255734584,-87.6480263687,"(41.92557345837945, -87.6480263687151)"
1121,PB2017A01121,President,1519 N. Mohawk Condo Assoc,1519,N,Mohawk,ST,5,17-04-109-041-1001-1005,,02/16/2017,02/16/2017,41.9097908798,-87.6420382541,"(41.909790879812824, -87.64203825407766)"
1461,PB2017A01461,PROPERTY MANAGER,,2116,W,BERTEAU,AVE,6,14-18-312-039-0000,,07/20/2017,07/20/2017,41.9578697145,-87.6820626353,"(41.9578697145452, -87.68206263531607)"
2030,PB2017A02030,registered agent,The University Crossing Lofts,1610,S,Halsted,ST,29,17-20-406-045-1001-1031,10/03/0017,10/24/2017,10/24/2017,41.859605662,-87.6468429711,"(41.85960566199131, -87.64684297108161)"
